num.trees,sample.fraction,MSE,runtime_training,runtime_prediction
1.0,0.6,2233350482.19954,0.0299999999988358,0.0099999999983992
1.0,0.61,2296872276.12468,0.0200000000004366,0.0200000000004366
1.0,0.62,1604684853.20267,0.0300000000006548,0.0200000000004366
1.0,0.63,1874030698.5648,0.0199999999986176,0.0100000000002183
1.0,0.64,1610068262.07533,0.0300000000006548,0.0100000000002183
1.0,0.65,2317710337.07341,0.0300000000006548,0.0199999999986176
1.0,0.66,1838760224.29279,0.0499999999992724,0.0100000000002183
1.0,0.67,2072174065.53226,0.0300000000006548,0.0200000000004366
1.0,0.68,1583758002.43399,0.0299999999988358,0.0100000000002183
1.0,0.69,1791368444.21151,0.0100000000002183,0.0099999999983992
1.0,0.7,1805944664.48012,0.0400000000008731,0.0200000000004366
1.0,0.71,1803534590.5093,0.0100000000002183,0.0100000000002183
1.0,0.72,1611891539.36566,0.0299999999988358,0.0200000000004366
1.0,0.73,2115420877.89212,0.0300000000006548,0.0100000000002183
1.0,0.74,2031428082.07933,0.0300000000006548,0.0100000000002183
1.0,0.75,1850909346.35762,0.0299999999988358,0.0200000000004366
1.0,0.76,1738061021.11847,0.0299999999988358,0.0200000000004366
1.0,0.77,1986682562.9599,0.0400000000008731,0.0100000000002183
1.0,0.78,2200745619.78896,0.0100000000002183,0.0100000000002183
1.0,0.79,1742254665.46174,0.0300000000006548,0.0200000000004366
1.0,0.8,1520868719.25195,0.0299999999988358,0.0100000000002183
1.0,0.81,1466696818.78568,0.0100000000002183,0.0200000000004366
1.0,0.82,2038421109.34133,0.0200000000004366,0.0299999999988358
1.0,0.83,1632578739.14057,0.0200000000004366,0.0300000000006548
1.0,0.84,2043197615.03707,0.0299999999988358,0.0200000000004366
1.0,0.85,1795107504.9209,0.0300000000006548,0.0299999999988358
1.0,0.86,2003353055.01636,0.0300000000006548,0.0100000000002183
1.0,0.87,2350061986.19659,0.0299999999988358,0.0200000000004366
1.0,0.88,2320503144.03249,0.0400000000008731,0.0299999999988358
1.0,0.89,1711368834.41238,0.0300000000006548,0.0100000000002183
1.0,0.9,1964143004.80862,0.0299999999988358,0.0100000000002183
1.0,0.91,1358089628.12084,0.0299999999988358,0.0200000000004366
1.0,0.92,2002723418.44194,0.0200000000004366,0.0299999999988358
1.0,0.93,1994936804.67846,0.0300000000006548,0.0200000000004366
1.0,0.94,1805402053.58604,0.0299999999988358,0.0300000000006548
1.0,0.95,1577422916.2579,0.0300000000006548,0.0100000000002183
1.0,0.96,1616533009.64052,0.0300000000006548,0.0199999999986176
1.0,0.97,1976950130.96685,0.0300000000006548,0.0100000000002183
1.0,0.98,1948536196.02726,0.0299999999988358,0.0200000000004366
1.0,0.99,2075875615.93951,0.0400000000008731,0.0300000000006548
1.0,1.0,1805778064.00789,0.0300000000006548,0.0100000000002183
2.0,0.01,3577246657.00021,0.0299999999988358,0.0200000000004366
2.0,0.02,2940663857.97688,0.0300000000006548,0.0099999999983992
2.0,0.03,2016968648.01903,0.0400000000008731,0.0200000000004366
2.0,0.04,2388513615.3628,0.0300000000006548,0.0200000000004366
2.0,0.05,1898138228.61191,0.0299999999988358,0.0100000000002183
2.0,0.06,1501251707.39013,0.0299999999988358,0.0200000000004366
