mtry,sample.fraction,MSE,runtime_training,runtime_prediction
2.0,0.09,1031432306.12861,0.0900000000001455,0.0299999999988358
2.0,0.1,1054514513.41075,0.0800000000017462,0.0300000000024738
2.0,0.11,1023575498.32386,0.0999999999985448,0.0300000000024738
2.0,0.12,991722604.310763,0.0999999999985448,0.0299999999988358
2.0,0.13,974832304.679202,0.130000000001019,0.0400000000008731
2.0,0.14,970937920.167565,0.139999999999418,0.0300000000024738
2.0,0.15,948262510.514614,0.110000000000582,0.0299999999988358
2.0,0.16,932293282.715826,0.0999999999985448,0.0299999999988358
2.0,0.17,927508787.040793,0.110000000000582,0.0299999999988358
2.0,0.18,905333586.894672,0.110000000000582,0.0299999999988358
2.0,0.19,896988568.054245,0.110000000000582,0.0299999999988358
2.0,0.2,881120323.907192,0.110000000000582,0.0299999999988358
2.0,0.21,874362813.150561,0.119999999998981,0.0299999999988358
2.0,0.22,888252390.054328,0.110000000000582,0.0400000000008731
2.0,0.23,874093280.276057,0.139999999999418,0.0299999999988358
2.0,0.24,869979358.942885,0.119999999998981,0.0299999999988358
2.0,0.25,862798800.256523,0.110000000000582,0.0299999999988358
2.0,0.26,849256771.277689,0.110000000000582,0.0299999999988358
2.0,0.27,863354198.976319,0.110000000000582,0.0300000000024738
2.0,0.28,847136942.054539,0.130000000001019,0.0300000000024738
2.0,0.29,847340488.727852,0.119999999998981,0.0299999999988358
2.0,0.3,828194680.03005,0.119999999998981,0.0299999999988358
2.0,0.31,814162352.274102,0.139999999999418,0.0300000000024738
2.0,0.32,815689202.191506,0.119999999998981,0.0499999999992724
2.0,0.33,835073845.541227,0.150000000001455,0.0300000000024738
2.0,0.34,806533332.732202,0.130000000001019,0.0499999999992724
2.0,0.35,800498560.861376,0.139999999999418,0.0400000000008731
2.0,0.36,788776065.686825,0.139999999999418,0.0400000000008731
2.0,0.37,823128609.159623,0.25,0.0299999999988358
2.0,0.38,811338865.125445,0.140000000003056,0.0500000000029104
2.0,0.39,803001226.464359,0.139999999999418,0.0499999999992724
2.0,0.4,801169257.068819,0.130000000001019,0.0499999999992724
2.0,0.41,794195547.368619,0.139999999999418,0.0499999999992724
2.0,0.42,762473371.250734,0.139999999999418,0.0500000000029104
2.0,0.43,768212824.989209,0.139999999999418,0.0299999999988358
2.0,0.44,778190878.840977,0.159999999999854,0.0299999999988358
2.0,0.45,780675201.749889,0.139999999999418,0.0400000000008731
2.0,0.46,774345968.501874,0.150000000001455,0.0400000000008731
2.0,0.47,767193596.416094,0.150000000001455,0.0299999999988358
2.0,0.48,786294453.816102,0.139999999999418,0.0400000000008731
2.0,0.49,753295761.43101,0.200000000000728,0.0499999999992724
2.0,0.5,759293007.637445,0.279999999998836,0.0299999999988358
2.0,0.51,760085753.103241,0.150000000001455,0.0499999999992724
2.0,0.52,756825337.681418,0.159999999999854,0.0299999999988358
2.0,0.53,760360128.999827,0.159999999999854,0.0300000000024738
2.0,0.54,766294921.249909,0.169999999998254,0.0499999999992724
2.0,0.55,758677150.126141,0.140000000003056,0.0400000000008731
2.0,0.56,753716001.754257,0.150000000001455,0.0499999999992724
