num.trees,mtry,MSE,runtime_training,runtime_prediction
1.0,48.0,1464290668.43193,0.0500000000001819,0.0199999999995271
1.0,49.0,1276162691.49424,0.0399999999999636,0.0300000000006548
1.0,50.0,1829459240.74314,0.0600000000004002,0.0200000000004366
1.0,51.0,1404805786.23518,0.0399999999999636,0.0199999999995271
1.0,52.0,1790298656.85147,0.0500000000001819,0.0099999999993087
1.0,53.0,1700832300.66319,0.0599999999994907,0.0199999999995271
1.0,54.0,1663602983.5603,0.0500000000001819,0.0100000000002183
1.0,55.0,1886037962.54879,0.0399999999999636,0.0299999999997453
1.0,56.0,1269825853.03842,0.0500000000001819,0.0299999999997453
1.0,57.0,1248959010.51026,0.0500000000001819,0.0199999999995271
1.0,58.0,1811849516.53061,0.0499999999992724,0.0199999999995271
1.0,59.0,1546339047.74305,0.0399999999999636,0.0100000000002183
1.0,60.0,1701144487.35674,0.0399999999999636,0.0199999999995271
2.0,1.0,1779866270.65282,0.0200000000004366,0.0300000000006548
2.0,2.0,1534955333.0117,0.0299999999997453,0.0200000000004366
2.0,3.0,1580096868.86111,0.0300000000006548,0.0100000000002183
2.0,4.0,1417283354.10972,0.0299999999997453,0.0199999999995271
2.0,5.0,1404300055.47067,0.0500000000001819,0.0399999999999636
2.0,6.0,1092507744.26032,0.0300000000006548,0.0100000000002183
2.0,7.0,1156052932.91765,0.0299999999997453,0.0199999999995271
2.0,8.0,1190989951.96305,0.0299999999997453,0.0300000000006548
2.0,9.0,1068208218.84991,0.0299999999997453,0.0099999999993087
2.0,10.0,1244559889.05381,0.0299999999997453,0.0399999999999636
2.0,11.0,1330272991.05525,0.0199999999995271,0.0100000000002183
2.0,12.0,1180408438.03064,0.0399999999999636,0.0100000000002183
2.0,13.0,1084600166.64532,0.0300000000006548,0.0200000000004366
2.0,14.0,996033049.959005,0.0299999999997453,0.0200000000004366
2.0,15.0,1257326140.8007,0.0399999999999636,0.0199999999995271
2.0,16.0,1213793936.57089,0.0299999999997453,0.0299999999997453
2.0,17.0,1142032500.86273,0.0299999999997453,0.0200000000004366
2.0,18.0,942331015.90344,0.0300000000006548,0.0100000000002183
2.0,19.0,881925595.304471,0.0299999999997453,0.0199999999995271
2.0,20.0,1167348592.7672,0.0500000000001819,0.0200000000004366
2.0,21.0,1389391248.96612,0.0399999999999636,0.0200000000004366
2.0,22.0,1233122116.08317,0.0299999999997453,0.0299999999997453
2.0,23.0,977122299.755309,0.0299999999997453,0.0100000000002183
2.0,24.0,1095516310.94163,0.0299999999997453,0.0199999999995271
2.0,25.0,1209459353.2024,0.0300000000006548,0.0099999999993087
