"num.trees","mtry","sample.fraction","min.node.size","replace","MSE","runtime_training","runtime_prediction"
4,10,0.1,1,TRUE,1095480511.02069,0.0299999999997453,0.0100000000002183
8,10,0.1,1,TRUE,974249778.151962,0.0199999999999818,0.0199999999999818
16,10,0.1,1,TRUE,813768909.462491,0.0100000000002183,0.00999999999976353
32,10,0.1,1,TRUE,781732841.126751,0.0399999999999636,0.0199999999999818
64,10,0.1,1,TRUE,717135131.646741,0.0300000000002001,0.0100000000002183
128,10,0.1,1,TRUE,726289818.038123,0.0499999999997272,0.00999999999976353
256,10,0.1,1,TRUE,738344287.48049,0.0999999999999091,0.0100000000002183
512,10,0.1,1,TRUE,735532896.358678,0.170000000000073,0.0299999999997453
1024,10,0.1,1,TRUE,733390715.311259,0.269999999999982,0.0399999999999636
2048,10,0.1,1,TRUE,734697133.281484,0.679999999999836,0.0799999999999272
2,20,0.1,1,TRUE,1477263780.66295,0.0100000000002183,0.0199999999999818
4,20,0.1,1,TRUE,1252407800.29889,0.0300000000002001,0.00999999999976353
8,20,0.1,1,TRUE,1095933911.28163,0.0300000000002001,0.0199999999999818
16,20,0.1,1,TRUE,971056576.519458,0.0399999999999636,0.0199999999999818
32,20,0.1,1,TRUE,815440498.677321,0.0300000000002001,0.0100000000002183
64,20,0.1,1,TRUE,752022327.432344,0.0299999999997453,0.0299999999997453
128,20,0.1,1,TRUE,738373640.2855,0.0599999999999454,0.0399999999999636
256,20,0.1,1,TRUE,718430878.878913,0.0999999999999091,0.0300000000002001
512,20,0.1,1,TRUE,707785006.532768,0.190000000000055,0.0300000000002001
1024,20,0.1,1,TRUE,705808935.755435,0.380000000000109,0.0500000000001819
2048,20,0.1,1,TRUE,707562894.835521,0.759999999999764,0.0799999999999272
2,23,0.1,1,TRUE,1267499843.81947,0.0299999999997453,0.0199999999999818
4,23,0.1,1,TRUE,1014835172.60538,0.0199999999999818,0.0199999999999818
8,23,0.1,1,TRUE,1047686889.95259,0.0399999999999636,0.0100000000002183
16,23,0.1,1,TRUE,914878811.910257,0.0300000000002001,0.0199999999999818
32,23,0.1,1,TRUE,751950623.728988,0.0300000000002001,0.00999999999976353
64,23,0.1,1,TRUE,746531081.908559,0.0499999999997272,0.0100000000002183
128,23,0.1,1,TRUE,726377868.186022,0.0700000000001637,0.0199999999999818
256,23,0.1,1,TRUE,700172889.872186,0.119999999999891,0.0399999999999636
512,23,0.1,1,TRUE,702102832.77626,0.210000000000036,0.0299999999997453
1024,23,0.1,1,TRUE,702167857.887987,0.470000000000255,0.0399999999999636
2048,23,0.1,1,TRUE,703816508.173829,0.809999999999945,0.110000000000127
2,26,0.1,1,TRUE,1333082836.23971,0.0300000000002001,0.0299999999997453
4,26,0.1,1,TRUE,992362167.324614,0.0300000000002001,0.0300000000002001
