"num.trees","mtry","sample.fraction","min.node.size","replace","MSE"
1500,2,0.9,10,TRUE,719867364.639075
500,3,0.9,10,TRUE,640487518.427125
1000,3,0.9,10,TRUE,632088454.641968
1500,3,0.9,10,TRUE,634329311.561376
500,4,0.9,10,TRUE,589961212.346041
1000,4,0.9,10,TRUE,588337353.769175
1500,4,0.9,10,TRUE,588173887.098779
500,2,1,10,TRUE,722897749.872663
1000,2,1,10,TRUE,712643293.654611
1500,2,1,10,TRUE,708233365.696603
500,3,1,10,TRUE,605759131.353757
1000,3,1,10,TRUE,609183644.423766
1500,3,1,10,TRUE,616073515.278871
500,4,1,10,TRUE,580162601.270365
1000,4,1,10,TRUE,577968396.358385
1500,4,1,10,TRUE,577104038.77496
500,2,0.5,1,FALSE,721552649.023865
1000,2,0.5,1,FALSE,715561257.945297
1500,2,0.5,1,FALSE,711896571.386013
500,3,0.5,1,FALSE,612982606.672869
1000,3,0.5,1,FALSE,621749493.261011
1500,3,0.5,1,FALSE,615877034.255367
500,4,0.5,1,FALSE,588523039.988389
1000,4,0.5,1,FALSE,576946425.912654
1500,4,0.5,1,FALSE,581930421.373631
500,2,0.6,1,FALSE,691338900.990644
1000,2,0.6,1,FALSE,688518231.502457
1500,2,0.6,1,FALSE,686077022.509776
500,3,0.6,1,FALSE,582272334.672884
1000,3,0.6,1,FALSE,586315370.337055
1500,3,0.6,1,FALSE,587374937.586403
500,4,0.6,1,FALSE,552102710.409809
1000,4,0.6,1,FALSE,546046815.502282
1500,4,0.6,1,FALSE,550490861.631176
500,2,0.7,1,FALSE,671974806.132728
1000,2,0.7,1,FALSE,665529373.251618
1500,2,0.7,1,FALSE,670679096.042498
500,3,0.7,1,FALSE,567078380.636426
1000,3,0.7,1,FALSE,571304405.492515
1500,3,0.7,1,FALSE,575836173.011868
500,4,0.7,1,FALSE,552472851.295097
1000,4,0.7,1,FALSE,540667695.203837
1500,4,0.7,1,FALSE,542527795.875212
500,2,0.8,1,FALSE,635975415.171764
