sample.fraction,replace,MSE,runtime_training,runtime_prediction
0.61,0.0,542002426.676111,0.350000000002183,0.0299999999988358
0.62,1.0,581264920.685791,0.340000000000146,0.0499999999992724
0.62,0.0,528053931.745456,0.360000000000582,0.0499999999992724
0.63,1.0,578601940.059793,0.349999999998545,0.0400000000008731
0.63,0.0,528013578.783962,0.329999999998108,0.0299999999988358
0.64,1.0,562804974.642024,0.360000000000582,0.0400000000008731
0.64,0.0,545387096.95837,0.369999999998981,0.069999999999709
0.65,1.0,574271391.208585,0.340000000000146,0.0400000000008731
0.65,0.0,542179292.635954,0.390000000003056,0.0400000000008731
0.66,1.0,578217679.34529,0.380000000001019,0.0499999999992724
0.66,0.0,538739688.851219,0.369999999998981,0.0499999999992724
0.67,1.0,564086829.532838,0.369999999998981,0.0499999999992724
0.67,0.0,538016867.662442,0.400000000001455,0.0499999999992724
0.68,1.0,569014497.767901,0.360000000000582,0.0499999999992724
0.68,0.0,541983585.790877,0.389999999999418,0.0499999999992724
0.69,1.0,557156306.760293,0.419999999998254,0.0499999999992724
0.69,0.0,534220540.298915,0.389999999999418,0.0500000000029104
0.7,1.0,557042872.03151,0.369999999998981,0.0299999999988358
0.7,0.0,533772875.018457,0.409999999999854,0.0499999999992724
0.71,1.0,558438771.69378,0.389999999999418,0.0299999999988358
0.71,0.0,539380069.195687,0.360000000000582,0.0400000000008731
0.72,1.0,574541981.409574,0.31000000000131,0.0499999999992724
0.72,0.0,538135661.316934,0.360000000000582,0.0299999999988358
0.73,1.0,578967751.005,0.319999999999709,0.0299999999988358
0.73,0.0,521450030.948907,0.350000000002183,0.0400000000008731
0.74,1.0,562261012.075754,0.329999999998108,0.0300000000024738
0.74,0.0,523997524.39012,0.349999999998545,0.0400000000008731
0.75,1.0,553175029.803455,0.329999999998108,0.0400000000008731
0.75,0.0,525339702.611306,0.360000000000582,0.0299999999988358
0.76,1.0,573329897.198295,0.379999999997381,0.0300000000024738
0.76,0.0,526102936.231237,0.360000000000582,0.0400000000008731
0.77,1.0,568227033.509759,0.340000000000146,0.0499999999992724
0.77,0.0,528691320.22762,0.380000000001019,0.0499999999992724
0.78,1.0,563916808.40909,0.380000000001019,0.0299999999988358
0.78,0.0,520062920.313563,0.360000000000582,0.0400000000008731
0.79,1.0,566107683.798787,0.360000000000582,0.0299999999988358
0.79,0.0,517966135.737475,0.369999999998981,0.0499999999992724
0.8,1.0,567188453.999335,0.360000000000582,0.0299999999988358
0.8,0.0,513914820.658638,0.389999999999418,0.0299999999988358
0.81,1.0,547138162.381411,0.340000000000146,0.0499999999992724
0.81,0.0,516114956.923604,0.379999999997381,0.0400000000008731
0.82,1.0,551474568.88509,0.369999999998981,0.0499999999992724
0.82,0.0,504619130.413849,0.380000000001019,0.0499999999992724
0.83,1.0,541066088.247462,0.360000000000582,0.0299999999988358
0.83,0.0,515984731.333818,0.409999999999854,0.0300000000024738
0.84,1.0,562551932.347515,0.360000000000582,0.0300000000024738
0.84,0.0,514731375.731818,0.360000000000582,0.0400000000008731
0.85,1.0,548753635.893629,0.360000000000582,0.0400000000008731
0.85,0.0,511634087.421583,0.409999999999854,0.0299999999988358
0.86,1.0,565138283.916808,0.359999999996944,0.0400000000008731
0.86,0.0,511057372.425135,0.409999999999854,0.0400000000008731
0.87,1.0,534583723.111695,0.360000000000582,0.0400000000008731
0.87,0.0,516220360.323057,0.400000000001455,0.0499999999992724
0.88,1.0,553811871.671724,0.409999999999854,0.0499999999992724
0.88,0.0,514216979.797063,0.409999999999854,0.0300000000024738
0.89,1.0,557483415.247127,0.369999999998981,0.0499999999992724
0.89,0.0,511251793.577833,0.389999999999418,0.0400000000008731
0.9,1.0,544979715.071427,0.370000000002619,0.0499999999992724
0.9,0.0,509259329.012578,0.430000000000291,0.0299999999988358
0.91,1.0,560902180.660075,0.370000000002619,0.0300000000024738
0.91,0.0,515661775.781577,0.409999999999854,0.0499999999992724
0.92,1.0,548629175.061889,0.389999999999418,0.0299999999988358
0.92,0.0,519523905.500989,0.419999999998254,0.0499999999992724
0.93,1.0,550875049.281862,0.390000000003056,0.0500000000029104
0.93,0.0,516604702.557469,0.459999999999127,0.0299999999988358
0.94,1.0,547582730.813814,0.390000000003056,0.0400000000008731
0.94,0.0,505727514.435766,0.409999999999854,0.0400000000008731
0.95,1.0,545129023.492702,0.430000000000291,0.0499999999992724
0.95,0.0,507555949.795378,0.430000000000291,0.0499999999992724
0.96,1.0,545451368.591902,0.409999999999854,0.0499999999992724
0.96,0.0,500593220.050266,0.459999999999127,0.0499999999992724
0.97,1.0,545778584.629028,0.420000000001892,0.0400000000008731
0.97,0.0,492312848.285897,0.419999999998254,0.0499999999992724
0.98,1.0,539530948.627629,0.399999999997817,0.0499999999992724
0.98,0.0,490989430.211595,0.450000000000728,0.0499999999992724
0.99,1.0,559834699.173987,0.450000000000728,0.0299999999988358
0.99,0.0,485989633.598938,0.440000000002328,0.0500000000029104
1.0,1.0,567143037.297996,0.430000000000291,0.0299999999988358
1.0,0.0,489087501.37234,0.459999999999127,0.0499999999992724
