num.trees,min.node.size,MSE,runtime_training,runtime_prediction
1.0,50.0,1724635917.56665,0.0299999999988358,0.0100000000020373
2.0,1.0,1143161702.0832,0.0300000000024738,0.0200000000004366
2.0,2.0,1100143245.59036,0.0299999999988358,0.0099999999983992
2.0,3.0,1008763329.84205,0.0299999999988358,0.0200000000004366
2.0,4.0,981295952.912073,0.0299999999988358,0.0200000000004366
2.0,5.0,1190989951.96305,0.0299999999988358,0.0299999999988358
2.0,6.0,1151641962.64728,0.0299999999988358,0.0099999999983992
2.0,7.0,1192784044.27844,0.0299999999988358,0.0099999999983992
2.0,8.0,1235744041.94511,0.0299999999988358,0.0299999999988358
2.0,9.0,1097828970.31245,0.0299999999988358,0.0099999999983992
2.0,10.0,1032480675.51213,0.0299999999988358,0.0199999999967986
2.0,11.0,1152195723.56572,0.0299999999988358,0.0299999999988358
2.0,12.0,1159715583.51051,0.0200000000004366,0.0200000000004366
2.0,13.0,1263002511.08102,0.0300000000024738,0.0200000000004366
2.0,14.0,1209759519.37898,0.0299999999988358,0.0200000000004366
2.0,15.0,1067527058.23685,0.0299999999988358,0.0200000000004366
2.0,16.0,1051683025.78527,0.0200000000004366,0.0099999999983992
2.0,17.0,1048264297.82609,0.0299999999988358,0.0100000000020373
2.0,18.0,1123322320.48377,0.0300000000024738,0.0100000000020373
2.0,19.0,1157467780.16859,0.0299999999988358,0.0099999999983992
2.0,20.0,1025285302.74182,0.0099999999983992,0.0099999999983992
2.0,21.0,1113466168.51357,0.0299999999988358,0.0200000000004366
2.0,22.0,1018946796.80809,0.0099999999983992,0.0299999999988358
2.0,23.0,1048240230.06849,0.0300000000024738,0.0299999999988358
2.0,24.0,1046561522.882,0.0299999999988358,0.0099999999983992
2.0,25.0,1014442615.55512,0.0299999999988358,0.0299999999988358
2.0,26.0,1053198880.47127,0.0199999999967986,0.0200000000004366
2.0,27.0,1007833224.84167,0.0299999999988358,0.0400000000008731
2.0,28.0,1056188739.56978,0.0299999999988358,0.0100000000020373
2.0,29.0,1088826349.20771,0.0299999999988358,0.0099999999983992
2.0,30.0,1118208861.68775,0.0099999999983992,0.0099999999983992
2.0,31.0,1054301935.70404,0.0299999999988358,0.0299999999988358
2.0,32.0,1079359872.29808,0.0299999999988358,0.0299999999988358
2.0,33.0,1127597791.06625,0.0300000000024738,0.0200000000004366
2.0,34.0,1128999818.25434,0.0299999999988358,0.0200000000004366
2.0,35.0,1159078588.58021,0.0300000000024738,0.0400000000008731
2.0,36.0,1088523634.48231,0.0299999999988358,0.0199999999967986
2.0,37.0,1084996175.87772,0.0299999999988358,0.0200000000004366
2.0,38.0,1063306086.0846,0.0099999999983992,0.0099999999983992
2.0,39.0,1043303463.61665,0.0299999999988358,0.0100000000020373
2.0,40.0,1224174248.12886,0.0200000000004366,0.0299999999988358
2.0,41.0,1259028873.41433,0.0200000000004366,0.0299999999988358
2.0,42.0,1209410738.25409,0.0299999999988358,0.0100000000020373
2.0,43.0,1253287405.48368,0.0300000000024738,0.0100000000020373
2.0,44.0,1245783370.40285,0.0299999999988358,0.0099999999983992
2.0,45.0,1223466208.83626,0.0299999999988358,0.0200000000004366
