mtry,min.node.size,MSE,runtime_training,runtime_prediction
4.0,43.0,679166644.767758,0.139999999999418,0.0400000000008731
4.0,44.0,681252695.658301,0.159999999999854,0.0299999999988358
4.0,45.0,683542896.013587,0.139999999999418,0.0299999999988358
4.0,46.0,690456149.888598,0.149999999997817,0.0400000000008731
4.0,47.0,692760398.66266,0.139999999999418,0.0299999999988358
4.0,48.0,695847026.538902,0.139999999999418,0.0299999999988358
4.0,49.0,697281176.722251,0.169999999998254,0.0400000000008731
4.0,50.0,698767667.996142,0.139999999999418,0.0299999999988358
5.0,1.0,550442901.776631,0.479999999999563,0.0800000000017462
5.0,2.0,547163307.990537,0.599999999998545,0.0599999999976717
5.0,3.0,553994432.48366,0.369999999998981,0.0499999999992724
5.0,4.0,542705734.322292,0.350000000002183,0.0499999999992724
5.0,5.0,552828345.243546,0.309999999997672,0.0299999999988358
5.0,6.0,554744740.731039,0.290000000000873,0.0300000000024738
5.0,7.0,554799808.217228,0.319999999999709,0.0400000000008731
5.0,8.0,558032494.482059,0.260000000002037,0.0499999999992724
5.0,9.0,559531432.608749,0.270000000000437,0.0299999999988358
5.0,10.0,560908176.712214,0.25,0.0400000000008731
5.0,11.0,570532010.789956,0.229999999999563,0.0299999999988358
5.0,12.0,572499295.042666,0.25,0.0499999999992724
5.0,13.0,585716237.682553,0.319999999999709,0.0299999999988358
5.0,14.0,584637179.912137,0.239999999997963,0.0299999999988358
5.0,15.0,581888948.323222,0.239999999997963,0.0299999999988358
5.0,16.0,588970118.478762,0.230000000003201,0.0300000000024738
5.0,17.0,590023959.588606,0.200000000000728,0.0499999999992724
5.0,18.0,595251351.998175,0.219999999997526,0.0299999999988358
5.0,19.0,595862817.835488,0.200000000000728,0.0400000000008731
5.0,20.0,602440362.841381,0.200000000000728,0.0299999999988358
5.0,21.0,597786735.370789,0.200000000000728,0.0299999999988358
5.0,22.0,597243300.603511,0.19999999999709,0.0300000000024738
5.0,23.0,601355047.395177,0.200000000000728,0.0299999999988358
5.0,24.0,602037713.42423,0.229999999999563,0.0299999999988358
5.0,25.0,609000595.204357,0.180000000000291,0.0299999999988358
5.0,26.0,609782547.180312,0.200000000000728,0.0300000000024738
5.0,27.0,612235353.152343,0.190000000002328,0.0400000000008731
5.0,28.0,611838552.729832,0.190000000002328,0.0300000000024738
5.0,29.0,617149532.184573,0.180000000000291,0.0299999999988358
5.0,30.0,617313100.820922,0.170000000001892,0.0299999999988358
5.0,31.0,624720438.937533,0.180000000000291,0.0299999999988358
5.0,32.0,626862920.154486,0.170000000001892,0.0299999999988358
5.0,33.0,628461601.032858,0.169999999998254,0.0299999999988358
5.0,34.0,633182066.204534,0.169999999998254,0.0400000000008731
5.0,35.0,631601390.334636,0.159999999999854,0.0299999999988358
5.0,36.0,640327142.716411,0.169999999998254,0.0299999999988358
5.0,37.0,640365586.180223,0.159999999999854,0.0299999999988358
5.0,38.0,643635755.72483,0.170000000001892,0.0299999999988358
5.0,39.0,647939254.283405,0.159999999999854,0.0299999999988358
5.0,40.0,650793305.74553,0.159999999999854,0.0300000000024738
5.0,41.0,655710983.371404,0.159999999999854,0.0299999999988358
5.0,42.0,654757129.512049,0.180000000000291,0.0299999999988358
5.0,43.0,659964513.869595,0.159999999999854,0.0400000000008731
5.0,44.0,663215091.870392,0.159999999999854,0.0299999999988358
5.0,45.0,665153534.605631,0.159999999999854,0.0299999999988358
5.0,46.0,663731818.275951,0.159999999999854,0.0299999999988358
5.0,47.0,664081445.854295,0.139999999999418,0.0299999999988358
5.0,48.0,664404452.305919,0.159999999999854,0.0299999999988358
5.0,49.0,671111820.934676,0.159999999999854,0.0200000000004366
5.0,50.0,674176457.329568,0.159999999999854,0.0299999999988358
6.0,1.0,520822951.815421,0.599999999998545,0.110000000000582
6.0,2.0,520171034.471951,0.520000000000437,0.0600000000013097
6.0,3.0,517656345.174064,0.639999999999418,0.069999999999709
6.0,4.0,527036780.03276,0.420000000001892,0.0499999999992724
6.0,5.0,527522536.232233,0.420000000001892,0.0500000000029104
6.0,6.0,537237479.636433,0.360000000000582,0.0299999999988358
6.0,7.0,533459138.599739,0.349999999998545,0.0300000000024738
6.0,8.0,536022221.907783,0.329999999998108,0.0300000000024738
6.0,9.0,534829399.712911,0.31000000000131,0.0499999999992724
6.0,10.0,543517191.856385,0.380000000001019,0.0299999999988358
6.0,11.0,552049727.296232,0.30000000000291,0.0300000000024738
6.0,12.0,554143896.072391,0.270000000000437,0.0400000000008731
6.0,13.0,551416021.156138,0.270000000000437,0.0299999999988358
6.0,14.0,555498195.429307,0.25,0.0300000000024738
6.0,15.0,555168565.147545,0.25,0.0299999999988358
6.0,16.0,556470121.07932,0.229999999999563,0.0499999999992724
