num.trees,replace,MSE,runtime_training,runtime_prediction
47.0,1.0,557743988.921962,0.0599999999976717,0.0299999999988358
47.0,0.0,543417724.055055,0.0600000000013097,0.0299999999988358
48.0,1.0,559363787.97023,0.069999999999709,0.0099999999983992
48.0,0.0,537442122.328057,0.0400000000008731,0.0300000000024738
49.0,1.0,561338354.774104,0.0799999999981083,0.0299999999988358
49.0,0.0,531289170.897618,0.069999999999709,0.0299999999988358
50.0,1.0,565454492.374489,0.069999999999709,0.0200000000004366
50.0,0.0,534332005.334687,0.0600000000013097,0.0299999999988358
51.0,1.0,557754572.708138,0.069999999999709,0.0099999999983992
51.0,0.0,527657987.269794,0.069999999999709,0.0199999999967986
52.0,1.0,554890735.792527,0.0799999999981083,0.0200000000004366
52.0,0.0,523681928.709502,0.0600000000013097,0.0099999999983992
53.0,1.0,556864403.081858,0.0800000000017462,0.0200000000004366
53.0,0.0,523764074.273617,0.0600000000013097,0.0099999999983992
54.0,1.0,549956548.061388,0.0799999999981083,0.0100000000020373
54.0,0.0,527078928.300385,0.069999999999709,0.0300000000024738
55.0,1.0,554365001.115359,0.0800000000017462,0.0300000000024738
55.0,0.0,525566114.266333,0.0600000000013097,0.0200000000004366
56.0,1.0,556546341.431773,0.069999999999709,0.0200000000004366
56.0,0.0,527786356.411041,0.0600000000013097,0.0200000000004366
57.0,1.0,553796329.073364,0.0799999999981083,0.0299999999988358
57.0,0.0,530375053.003075,0.0799999999981083,0.0199999999967986
58.0,1.0,560115015.950524,0.0799999999981083,0.0300000000024738
58.0,0.0,531036882.415757,0.0800000000017462,0.0300000000024738
59.0,1.0,558700868.34317,0.0900000000001455,0.0099999999983992
59.0,0.0,529312959.54193,0.0599999999976717,0.0299999999988358
60.0,1.0,552356777.096596,0.140000000003056,0.0300000000024738
60.0,0.0,523729828.020293,0.0600000000013097,0.0299999999988358
61.0,1.0,552385908.902961,0.0800000000017462,0.0200000000004366
61.0,0.0,522361388.982109,0.0600000000013097,0.0100000000020373
62.0,1.0,554948141.580548,0.0999999999985448,0.0299999999988358
62.0,0.0,527693392.642972,0.0599999999976717,0.0299999999988358
63.0,1.0,553078642.70931,0.0999999999985448,0.0200000000004366
63.0,0.0,525217275.61228,0.0600000000013097,0.0400000000008731
64.0,1.0,547457310.732999,0.0900000000001455,0.0200000000004366
64.0,0.0,522721278.736366,0.0600000000013097,0.0200000000004366
65.0,1.0,550318746.48889,0.0799999999981083,0.0299999999988358
65.0,0.0,524840898.847869,0.0799999999981083,0.0299999999988358
66.0,1.0,549870443.395025,0.0900000000001455,0.0300000000024738
66.0,0.0,524453202.975791,0.069999999999709,0.0300000000024738
