sample.fraction,min.node.size,MSE,runtime_training,runtime_prediction
0.03,43.0,1993747270.76169,0.0500000000029104,0.0300000000024738
0.03,44.0,2008879034.85754,0.0499999999992724,0.0299999999988358
0.03,45.0,2031603929.91885,0.0499999999992724,0.0400000000008731
0.03,46.0,2056805788.21872,0.0500000000029104,0.0200000000004366
0.03,47.0,2069215252.81042,0.0400000000008731,0.0300000000024738
0.03,48.0,2082421676.87202,0.0599999999976717,0.0299999999988358
0.03,49.0,2091728150.83808,0.0599999999976717,0.0299999999988358
0.03,50.0,2109260100.46704,0.0600000000013097,0.0299999999988358
0.04,1.0,892617321.288878,0.120000000002619,0.0300000000024738
0.04,2.0,892612797.94732,0.0900000000001455,0.0300000000024738
0.04,3.0,895489309.625329,0.110000000000582,0.0400000000008731
0.04,4.0,893472199.203954,0.069999999999709,0.0299999999988358
0.04,5.0,903310674.214951,0.0799999999981083,0.0300000000024738
0.04,6.0,915229285.50113,0.0799999999981083,0.0300000000024738
0.04,7.0,934084159.322041,0.0800000000017462,0.0400000000008731
0.04,8.0,956199833.107812,0.0600000000013097,0.0299999999988358
0.04,9.0,975961617.723323,0.0599999999976717,0.0300000000024738
0.04,10.0,997687461.632174,0.0600000000013097,0.0099999999983992
0.04,11.0,1021038506.51374,0.0599999999976717,0.0100000000020373
0.04,12.0,1042911824.68013,0.0800000000017462,0.0099999999983992
0.04,13.0,1062717810.45147,0.0600000000013097,0.0299999999988358
0.04,14.0,1078322929.92213,0.0600000000013097,0.0200000000004366
0.04,15.0,1095307372.41283,0.0599999999976717,0.0400000000008731
0.04,16.0,1117234805.10646,0.0600000000013097,0.0299999999988358
0.04,17.0,1133953227.076,0.0599999999976717,0.0299999999988358
0.04,18.0,1151311414.46868,0.0400000000008731,0.0299999999988358
0.04,19.0,1172130209.84594,0.0599999999976717,0.0200000000004366
0.04,20.0,1191074107.4067,0.0400000000008731,0.0299999999988358
0.04,21.0,1210805026.32598,0.0600000000013097,0.0200000000004366
0.04,22.0,1228695208.09605,0.0599999999976717,0.0400000000008731
0.04,23.0,1249940550.66286,0.0499999999992724,0.0299999999988358
0.04,24.0,1268678520.03512,0.069999999999709,0.0400000000008731
