"","num_trees","sample_fraction","mtry","replace","min_node_size","mse","runtime_training","runtime_prediction"
"elapsed98",421,0.774798290338367,36,TRUE,32,711916761.738686,0.384000000000003,0.0259999999999991
"elapsed99",666,0.657089741760865,12,FALSE,22,725062336.421482,0.244000000000005,0.0279999999999745
"elapsed100",125,0.265028758323751,42,TRUE,35,932300492.34633,0.0599999999999909,0.0159999999999968
"elapsed101",1112,0.928127249586396,52,FALSE,13,710130275.134223,2.396,0.0599999999999909
"elapsed102",1843,0.434011749876663,55,FALSE,11,694495299.293946,1.98199999999998,0.0620000000000005
"elapsed103",214,0.129807564173825,7,FALSE,41,1499984635.1517,0.0340000000000032,0.017999999999995
"elapsed104",1196,0.134264696505852,57,FALSE,13,853941599.916281,0.412000000000012,0.0439999999999941
"elapsed105",443,0.881379273417406,34,TRUE,12,660878937.29653,0.582000000000005,0.032000000000005
"elapsed106",1457,0.420103096147068,42,TRUE,40,863225889.86074,0.634000000000003,0.0380000000000109
"elapsed107",1847,0.874022713582963,57,FALSE,37,798180897.14289,2.45199999999999,0.0619999999999891
"elapsed108",1475,0.592660466488451,36,TRUE,31,774820974.431046,0.967999999999995,0.0480000000000132
"elapsed109",307,0.973037337791175,58,TRUE,35,724311238.546099,0.450000000000023,0.0220000000000368
"elapsed110",534,0.946034473041072,22,TRUE,42,731615232.427363,0.321999999999991,0.0239999999999782
"elapsed111",1178,0.965468830429018,6,TRUE,44,854425068.832487,0.322000000000014,0.0440000000000055
"elapsed112",202,0.737534884992056,54,FALSE,45,822908825.809396,0.213999999999999,0.017999999999995
"elapsed113",940,0.344361819350161,15,FALSE,4,688834740.737659,0.477999999999986,0.0500000000000114
"elapsed114",1977,0.847572747454979,22,FALSE,45,787385379.038361,0.998000000000002,0.0619999999999891
"elapsed115",563,0.847624852927402,52,FALSE,45,825342072.085278,0.642000000000019,0.0319999999999709
"elapsed116",209,0.51478774107527,42,FALSE,50,900983587.759694,0.125999999999988,0.0220000000000027
"elapsed117",698,0.679618323338218,27,FALSE,30,734268634.30951,0.432000000000005,0.0319999999999823
"elapsed118",627,0.4735304904636,6,TRUE,31,928214753.027942,0.115999999999985,0.0279999999999973
"elapsed119",1074,0.160352802462876,25,FALSE,49,1334275568.66302,0.153999999999996,0.0339999999999918
"elapsed120",898,0.830602133576758,12,TRUE,3,663961877.893191,0.886000000000001,0.0620000000000005
"elapsed121",1720,0.8537344123004,55,FALSE,25,744874417.270286,2.70800000000004,0.0599999999999795
"elapsed122",1706,0.939883520896547,36,FALSE,36,777478590.652777,1.64199999999996,0.0520000000000209
"elapsed123",287,0.395615693554282,41,FALSE,45,890651064.471881,0.144000000000005,0.0259999999999764
"elapsed124",1738,0.767190080625005,54,TRUE,29,721326757.178722,2.07800000000002,0.0540000000000191
"elapsed125",1517,0.81656305345241,14,TRUE,17,703537444.730383,0.809999999999991,0.0599999999999909
"elapsed126",1356,0.948154281289317,29,TRUE,46,739417953.910254,1.05,0.0399999999999864
"elapsed127",1823,0.743518389342353,7,TRUE,34,828956237.789463,0.444000000000051,0.06599999999994
"elapsed128",703,0.995191704691388,16,TRUE,11,644932995.032359,0.595999999999981,0.0380000000000109
