"Parameter","Value","MSE","runtime_prediction","runtime_training"
"sample.fraction",0.48,590743435.69712,0.0300000000006548,0.25
"sample.fraction",0.49,604360003.468019,0.0399999999999636,0.270000000000437
"sample.fraction",0.5,598473127.682513,0.0399999999999636,0.270000000000437
"sample.fraction",0.51,607995699.410624,0.0399999999999636,0.279999999999745
"sample.fraction",0.52,587545611.715511,0.0500000000001819,0.300000000000182
"sample.fraction",0.53,583240626.943898,0.0299999999997453,0.279999999999745
"sample.fraction",0.54,589237562.253677,0.0500000000001819,0.289999999999964
"sample.fraction",0.55,599669428.985509,0.0500000000001819,0.280000000000655
"sample.fraction",0.56,584622654.038741,0.0300000000006548,0.279999999999745
"sample.fraction",0.57,595486651.825751,0.0399999999999636,0.289999999999964
"sample.fraction",0.58,580099440.898975,0.0500000000001819,0.300000000000182
"sample.fraction",0.59,597692804.343285,0.0399999999999636,0.280000000000655
"sample.fraction",0.6,581423219.469022,0.0300000000006548,0.300000000000182
"sample.fraction",0.61,582750146.647939,0.0399999999999636,0.300000000000182
"sample.fraction",0.62,581264920.685791,0.0500000000001819,0.349999999999454
"sample.fraction",0.63,578601940.059793,0.0500000000001819,0.3100000000004
"sample.fraction",0.64,562804974.642024,0.0500000000001819,0.289999999999964
"sample.fraction",0.65,574271391.208585,0.0300000000006548,0.350000000000364
"sample.fraction",0.66,578217679.34529,0.0299999999997453,0.319999999999709
"sample.fraction",0.67,564086829.532838,0.0299999999997453,0.360000000000582
"sample.fraction",0.68,569014497.767901,0.0500000000001819,0.329999999999927
"sample.fraction",0.69,557156306.760293,0.0399999999999636,0.329999999999927
"sample.fraction",0.7,557042872.03151,0.0299999999997453,0.320000000000618
"sample.fraction",0.71,558438771.69378,0.0399999999999636,0.349999999999454
"sample.fraction",0.72,574541981.409574,0.0399999999999636,0.350000000000364
"sample.fraction",0.73,578967751.005,0.0299999999997453,0.360000000000582
"sample.fraction",0.74,562261012.075754,0.0500000000001819,0.349999999999454
"sample.fraction",0.75,553175029.803455,0.0300000000006548,0.380000000000109
"sample.fraction",0.76,573329897.198295,0.0300000000006548,0.369999999999891
"sample.fraction",0.77,568227033.509759,0.0399999999999636,0.389999999999418
"sample.fraction",0.78,563916808.40909,0.0499999999992724,0.409999999999854
"sample.fraction",0.79,566107683.798787,0.0499999999992724,0.359999999999673
"sample.fraction",0.8,567188453.999335,0.0399999999999636,0.390000000000327
"sample.fraction",0.81,547138162.381411,0.0300000000006548,0.390000000000327
"sample.fraction",0.82,551474568.88509,0.0399999999999636,0.380000000000109
"sample.fraction",0.83,541066088.247462,0.0299999999997453,0.389999999999418
"sample.fraction",0.84,562551932.347515,0.0399999999999636,0.380000000000109
"sample.fraction",0.85,548753635.893629,0.0499999999992724,0.409999999999854
"sample.fraction",0.86,565138283.916808,0.0500000000001819,0.399999999999636
"sample.fraction",0.87,534583723.111695,0.0399999999999636,0.409999999999854
"sample.fraction",0.88,553811871.671724,0.0500000000001819,0.390000000000327
"sample.fraction",0.89,557483415.247127,0.0300000000006548,0.420000000000073
